slug,views_90d,action,redirect_to,reason
focal-neuropathy-2,1,KILL,/treatment-options,Neuropathy duplicate
guillain-barre-syndrome,3,KILL,/treatment-options,Neuropathy - thin
guillain-barre-syndrome-2,0,KILL,/treatment-options,Neuropathy duplicate
hereditary-neuropathies,1,KILL,/treatment-options,Neuropathy - thin
hereditary-neuropathies-2,1,KILL,/treatment-options,Neuropathy duplicate
idiopathic-neuropathy,3,KILL,/treatment-options,Neuropathy - thin
idiopathic-neuropathy-2,2,KILL,/treatment-options,Neuropathy duplicate
peripheral-neuropathy,4,KILL,/treatment-options,Neuropathy - /neuropathy redirects here but thin
peripheral-neuropathy-2,2,KILL,/treatment-options,Neuropathy duplicate
postherpetic-neuralgia,5,KILL,/treatment-options,Neuropathy - thin
postherpetic-neuralgia-2,0,KILL,/treatment-options,Neuropathy duplicate
proximal-neuropathy,2,KILL,/treatment-options,Neuropathy - thin
proximal-neuropathy-2,4,KILL,/treatment-options,Neuropathy duplicate
radial-neuropathy,2,KILL,/treatment-options,Neuropathy - thin
radial-neuropathy-2,1,KILL,/treatment-options,Neuropathy duplicate
trigeminal-neuralgia,1,KILL,/treatment-options,Neuropathy - thin
trigeminal-neuralgia-2,1,KILL,/treatment-options,Neuropathy duplicate
ulnar-neuropathy,3,KILL,/treatment-options,Neuropathy - thin
ulnar-neuropathy-2,2,KILL,/treatment-options,Neuropathy duplicate
carpal-tunnel-syndrome-2,5,KILL,/treatment-options,Condition page - thin
labor,2,KILL,/blog,Completely off topic - labor law
clinical-trial-associate-jobs,2,KILL,/blog,Off topic - job listings
clinical-trial-coordinator,8,KILL,/blog,Off topic - job description
ppd-las-vegas,2,KILL,/blog,Off topic - event recap
pain-center-of-west-virginia,6,KILL,/pain-management/wv,Clinic-specific post - redirect to state
pain-management-clinics,1,KILL,/clinics,Generic thin content
chronic-diseases,15,KILL,/blog,Off topic - general health not pain-specific
youth-sports,6,KILL,/blog,Tangential - sports safety
maintaining-your-health-as-you-age,2,KILL,/blog,Generic health - off topic
injury,1,KILL,/blog,Generic thin content
pethidine-pain-relief,1,KILL,/blog,Obscure drug - not patient-facing
shoulder-joint,5,KILL,/treatment-options,Thin condition page
abdominal-pain,2,KILL,/treatment-options,Thin condition page
what-are-opioids,6,KILL,/blog,Opioid education - risky YMYL topic
opioid-treatment,5,KILL,/blog,Opioid education - risky
opioid-abuse,3,KILL,/blog,Opioid education - risky
snris-neuropathic-pain-management,5,KILL,/treatment-options,Clinical study - not patient-friendly
chronic-pain-types,6,KILL,/blog/types-of-pain,Redundant with types-of-pain
chronic-pain-apps,6,KILL,/blog,Dated app review content
back-pain,6,KILL,/treatment-options,Extremely thin - generic title
reduce-back-pain,3,KILL,/treatment-options,Thin back pain content
best-injections-for-back-pain-5-critical-decisions-to-make,0,KILL,/treatment-options/pain-management-injections,Redirect to injections treatment page
painful-treatments,3,KILL,/blog,Thin - why treatments hurt
rheumatoid-arthritis-symptoms-and-treatments,0,KILL,/treatment-options,Thin condition page
migraine-headache-prequels,0,KILL,/blog,Off topic - migraine
myofascial-pain-syndrome,6,KILL,/treatment-options,Borderline - thin content
mastering-post-operative-pain,5,KILL,/blog,Generic post-op content
post-op,4,KILL,/blog,Generic post-op duplicate
obesity-and-knee-pain,4,KILL,/blog/diet-and-knee-pain,Consolidate to diet/knee post
knee-pain-2,3,KILL,/blog/the-ultimate-guide-to-knee-pain,Thin - sudden knee pain
knee-pain-while-driving,6,KILL,/blog/knee-pain-while-driving-2,Duplicate - redirect to better version
prevent-knee-pain-during-long-drives,5,KILL,/blog/knee-pain-while-driving-2,Consolidate driving/knee content
avoid-knee-pain-during-workouts,3,KILL,/blog/knee-strengthening-exercises,Consolidate exercise content
top-exercises-to-strengthen-your-knees,3,KILL,/blog/knee-strengthening-exercises,Duplicate exercise content
physical-therapy-exercises-for-knee-pain,5,KILL,/blog/knee-strengthening-exercises,Consolidate exercise content
when-is-knee-surgery-necessary,3,KILL,/blog/the-ultimate-guide-to-knee-pain,Thin - surgery decision
why-does-my-knee-hurt-common-causes,3,KILL,/blog/the-ultimate-guide-to-knee-pain,Redundant with ultimate guide
how-to-stretch-to-avoid-knee-pain,1,KILL,/blog/knee-strengthening-exercises,Consolidate exercise content
natural-remedies-for-knee-pain,2,KILL,/blog/knee-pain-treatment-at-home,Consolidate home treatment
it-band-syndrome-knee-pain,2,KILL,/blog/the-ultimate-guide-to-knee-pain,Thin condition page
patellar-tendonitis-explained,1,KILL,/blog/the-ultimate-guide-to-knee-pain,Thin condition page
best-shoes-for-knee-pain-relief,6,KILL,/blog/knee-pain-relief-products,Consolidate to products review
